,player_id,alt_player_id,player_name,school,Total Receptions,Mean Receptions,Highest Receptions,Lowest Receptions,Total Receiving Yards,Mean Receiving Yards,Highest Receiving Yards,Lowest Receiving Yards,Total Receiving Touchdowns,Mean Receiving Touchdowns,Highest Receiving Touchdowns,Lowest Receiving Touchdowns,Total Yards Per Reception,Mean Yards Per Reception,Highest Yards Per Reception,Lowest Yards Per Reception,Total Long Reception,Mean Long Reception,Highest Long Reception,Lowest Long Reception
40576,104373,4037591,Joe Reed,Virginia,129.0,32.25,77.0,4.0,1465.0,366.25,679.0,77.0,32.0,4.571428571428571,7.0,0.0,57.3,14.325,19.3,8.8,221.0,55.25,75.0,28.0
41164,104137,4039043,Collin Johnson,Texas,188.0,47.0,68.0,28.0,2624.0,656.0,985.0,315.0,30.0,3.75,7.0,2.0,54.7,13.675,14.7,11.3,170.0,42.5,48.0,37.0
41367,104652,4373673,John Hightower,Boise State,82.0,41.0,51.0,31.0,1447.0,723.5,943.0,504.0,28.0,7.0,8.0,6.0,34.8,17.4,18.5,16.3,143.0,71.5,76.0,67.0
41496,104647,4248504,Isaiah Coulter,Rhode Island,114.0,57.0,72.0,42.0,1643.0,821.5,1039.0,604.0,23.0,4.6,8.0,1.0,28.8,14.4,14.4,14.4,108.0,54.0,61.0,47.0
41686,104683,4040655,Darnell Mooney,Tulane,154.0,38.5,48.0,24.0,2572.0,643.0,993.0,267.0,38.0,4.75,8.0,2.0,64.30000000000001,16.075000000000003,20.7,11.1,211.0,52.75,86.0,25.0
42201,104140,4258195,Donovan Peoples-Jones,Michigan,103.0,34.333333333333336,47.0,22.0,1327.0,442.3333333333333,612.0,277.0,28.0,4.666666666666667,8.0,0.0,38.5,12.833333333333334,13.0,12.6,168.0,56.0,79.0,41.0
42924,104449,4050373,Quez Watkins,Southern Mississippi,159.0,53.0,72.0,23.0,2404.0,801.3333333333334,1178.0,337.0,34.0,5.666666666666667,9.0,2.0,45.4,15.133333333333333,18.4,12.3,182.0,60.666666666666664,77.0,48.0
43030,104495,3916204,James Proche,SMU,301.0,75.25,111.0,40.0,3949.0,987.25,1225.0,709.0,78.0,9.75,15.0,6.0,56.699999999999996,14.174999999999999,20.4,11.0,259.0,64.75,86.0,52.0
43428,104439,4242540,Isaiah Hodgins,Oregon State,176.0,58.666666666666664,86.0,31.0,2322.0,774.0,1171.0,275.0,40.0,6.666666666666667,13.0,2.0,37.300000000000004,12.433333333333335,14.8,8.9,114.0,38.0,51.0,21.0
43596,104239,4054085,Dezmon Patmon,Washington State,156.0,39.0,61.0,2.0,1976.0,494.0,816.0,19.0,26.0,4.333333333333333,8.0,0.0,46.800000000000004,11.700000000000001,13.4,9.5,162.0,40.5,65.0,19.0
43697,104693,4034950,Freddie Swain,Florida,68.0,17.0,38.0,8.0,996.0,249.0,517.0,96.0,30.0,3.75,7.0,1.0,59.300000000000004,14.825000000000001,18.9,12.0,188.0,47.0,65.0,26.0
43893,104248,3886598,Jauan Jennings,Tennessee,146.0,29.2,59.0,3.0,2153.0,430.6,969.0,17.0,36.0,4.0,8.0,0.0,61.8,12.36,16.4,5.7,198.0,39.6,67.0,7.0
