,player_id,alt_player_id,player_name,school,Total Rushing Attempts,Mean Rushing Attempts,Highest Rushing Attempts,Lowest Rushing Attempts,Total Rushing Yards,Mean Rushing Yards,Highest Rushing Yards,Lowest Rushing Yards,Total Yards Per Rush Attempt,Mean Yards Per Rush Attempt,Highest Yards Per Rush Attempt,Lowest Yards Per Rush Attempt,Total Rushing Touchdowns,Mean Rushing Touchdowns,Highest Rushing Touchdowns,Lowest Rushing Touchdowns,Total Long Rushing,Mean Long Rushing,Highest Long Rushing,Lowest Long Rushing,Total Receptions,Mean Receptions,Highest Receptions,Lowest Receptions,Total Receiving Yards,Mean Receiving Yards,Highest Receiving Yards,Lowest Receiving Yards,Total Yards Per Reception,Mean Yards Per Reception,Highest Yards Per Reception,Lowest Yards Per Reception,Total Long Reception,Mean Long Reception,Highest Long Reception,Lowest Long Reception,Total Receiving Touchdowns,Mean Receiving Touchdowns,Highest Receiving Touchdowns,Lowest Receiving Touchdowns
4168,101507,3929630,Saquon Barkley,Penn State,671.0,223.66666666666666,272.0,182.0,3843.0,1281.0,1496.0,1076.0,17.3,5.766666666666667,5.9,5.5,86.0,14.333333333333334,18.0,7.0,229.0,76.33333333333333,92.0,56.0,102.0,34.0,54.0,20.0,1195.0,398.3333333333333,632.0,161.0,34.2,11.4,14.4,8.1,161.0,53.666666666666664,85.0,32.0,16.0,2.6666666666666665,4.0,1.0
5406,101710,3139925,Rashaad Penny,San Diego State,487.0,97.4,289.0,0.0,3643.0,728.6,2248.0,0.0,32.199999999999996,6.4399999999999995,11.0,0.0,76.0,8.444444444444445,23.0,0.0,244.0,48.8,95.0,0.0,42.0,14.0,19.0,8.0,479.0,159.66666666666666,224.0,120.0,37.0,12.333333333333334,15.0,7.1,107.0,35.666666666666664,41.0,33.0,13.0,1.8571428571428572,3.0,1.0
5622,101712,3128721,Sony Michel,Georgia,591.0,147.75,219.0,64.0,3638.0,909.5,1227.0,410.0,25.1,6.275,7.9,5.3,66.0,8.25,16.0,4.0,258.0,64.5,75.0,42.0,64.0,16.0,26.0,7.0,621.0,155.25,270.0,96.0,43.0,10.75,15.1,6.8,146.0,36.5,48.0,32.0,12.0,1.5,3.0,1.0
5833,101549,3128720,Nick Chubb,Georgia,758.0,189.5,224.0,92.0,4769.0,1192.25,1547.0,747.0,26.2,6.55,8.1,5.0,88.0,11.0,15.0,7.0,276.0,69.0,83.0,55.0,31.0,7.75,18.0,4.0,361.0,90.25,213.0,30.0,44.5,11.125,17.2,7.5,111.0,27.75,49.0,11.0,8.0,1.0,2.0,0.0
5909,101527,3912550,Ronald Jones II,USC,591.0,197.0,261.0,153.0,3619.0,1206.3333333333333,1550.0,987.0,18.5,6.166666666666667,6.5,5.9,78.0,13.0,19.0,8.0,226.0,75.33333333333333,86.0,66.0,32.0,10.666666666666666,14.0,7.0,302.0,100.66666666666667,187.0,39.0,25.9,8.633333333333333,13.4,5.6,87.0,29.0,56.0,15.0,6.0,1.0,1.0,1.0
6192,101522,3916925,Kerryon Johnson,Auburn,519.0,173.0,285.0,52.0,2494.0,831.3333333333334,1391.0,208.0,13.8,4.6000000000000005,4.9,4.0,64.0,10.666666666666666,18.0,3.0,126.0,42.0,60.0,19.0,55.0,18.333333333333332,24.0,14.0,478.0,159.33333333333334,194.0,125.0,26.9,8.966666666666667,11.4,7.4,129.0,43.0,55.0,37.0,4.0,0.6666666666666666,2.0,0.0
6914,101514,3843750,Derrius Guice,LSU,471.0,157.0,237.0,51.0,3074.0,1024.6666666666667,1387.0,436.0,21.400000000000002,7.133333333333334,8.5,5.3,58.0,9.666666666666666,15.0,3.0,205.0,68.33333333333333,96.0,50.0,32.0,10.666666666666666,18.0,5.0,250.0,83.33333333333333,124.0,20.0,22.700000000000003,7.566666666666667,11.8,4.0,59.0,19.666666666666668,29.0,10.0,6.0,1.0,2.0,0.0
7400,101573,3122672,Royce Freeman,Oregon,947.0,236.75,283.0,168.0,5621.0,1405.25,1836.0,945.0,23.5,5.875,6.5,5.4,120.0,15.0,18.0,9.0,246.0,61.5,85.0,38.0,79.0,19.75,26.0,14.0,814.0,203.5,348.0,144.0,41.3,10.325,13.4,6.3,140.0,35.0,50.0,24.0,8.0,1.0,2.0,0.0
8404,101790,3916430,Nyheim Hines,NC State,258.0,86.0,197.0,13.0,1399.0,466.3333333333333,1112.0,44.0,14.1,4.7,5.6,3.4,26.0,4.333333333333333,12.0,0.0,135.0,45.0,83.0,14.0,89.0,29.666666666666668,43.0,20.0,933.0,311.0,525.0,152.0,30.8,10.266666666666667,12.8,5.8,142.0,47.333333333333336,58.0,28.0,2.0,0.3333333333333333,1.0,0.0
8741,101600,3917846,Mark Walton,Miami,394.0,131.33333333333334,209.0,56.0,1995.0,665.0,1117.0,428.0,16.4,5.466666666666666,7.6,3.5,52.0,8.666666666666666,14.0,3.0,189.0,63.0,82.0,27.0,56.0,18.666666666666668,27.0,7.0,624.0,208.0,293.0,91.0,35.2,11.733333333333334,13.3,8.9,110.0,36.666666666666664,41.0,30.0,4.0,0.6666666666666666,1.0,0.0
9567,101583,3128774,Kalen Ballage,Arizona State,450.0,112.5,157.0,42.0,1984.0,496.0,669.0,126.0,16.8,4.2,5.2,3.0,54.0,6.75,14.0,3.0,187.0,46.75,75.0,12.0,82.0,20.5,44.0,6.0,684.0,171.0,469.0,60.0,31.0,7.75,10.7,4.6,135.0,33.75,71.0,10.0,4.0,0.5,1.0,0.0
9735,102744,3119195,Chase Edmonds,Fordham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,8.375,23.0,0.0,0.0,0.0,0.0,0.0,0,,,,0,,,,0,,,,0,,,,7.0,1.75,5.0,0.0
10889,101777,3915381,John Kelly,Tennessee,327.0,109.0,189.0,40.0,1573.0,524.3333333333334,778.0,165.0,14.6,4.866666666666666,6.4,4.1,30.0,5.0,9.0,1.0,133.0,44.333333333333336,73.0,22.0,43.0,21.5,37.0,6.0,350.0,175.0,299.0,51.0,16.6,8.3,8.5,8.1,69.0,34.5,52.0,17.0,0.0,0.0,0.0,0.0
