,draft_year,player_id,player_name,position,pos_abbr,school_x,school_name,school_abbr,link,pick,overall,round,traded,trade_note,team,team_abbr,team_logo_espn,guid,weight,height,pos_rk,ovr_rk,grade,player_image,Year,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,Unnamed: 0,alt_player_id,school_y,Total Receptions,Mean Receptions,Highest Receptions,Lowest Receptions,Total Receiving Yards,Mean Receiving Yards,Highest Receiving Yards,Lowest Receiving Yards,Total Receiving Touchdowns,Mean Receiving Touchdowns,Highest Receiving Touchdowns,Lowest Receiving Touchdowns,Total Yards Per Reception,Mean Yards Per Reception,Highest Yards Per Reception,Lowest Yards Per Reception,Total Long Reception,Mean Long Reception,Highest Long Reception,Lowest Long Reception
89,2020,104457,Gabriel Davis,Wide Receiver,WR,UCF,Knights,UCF,http://insider.espn.com/nfl/draft/player/_/id/104457,22.0,128.0,4.0,False,,Buffalo Bills,BUF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/buf.png,6c5c1b3d32c084fda48895fbed7c1a73,216.0,74.0,27.0,156.0,57.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104457.png,2020.0,Central Florida,WR,74.0,216.0,9.25,32.25,,4.54,14.0,35.0,124.0,4.59,7.08,,39594,4243537,UCF,152.0,50.66666666666666,72.0,27.0,2447.0,815.6666666666666,1241.0,391.0,46.0,7.666666666666667,12.0,4.0,47.1,15.699999999999998,17.2,14.5,228.0,76.0,80.0,73.0
90,2020,104394,Antonio Gandy-Golden,Wide Receiver,WR,Liberty,Flames,LIB,http://insider.espn.com/nfl/draft/player/_/id/104394,36.0,142.0,4.0,False,(Compensatory Selection),Washington,WSH,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/wsh.png,9b974b594e0a5a57f9a585e3081024d2,223.0,76.0,14.0,83.0,73.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104394.png,2020.0,Liberty (VA),WR,76.0,223.0,9.63,31.75,,4.6,22.0,36.0,127.0,4.55,7.33,,40257,4029893,Liberty,150.0,75.0,79.0,71.0,2433.0,1216.5,1396.0,1037.0,53.0,8.833333333333334,10.0,3.0,32.3,16.15,17.7,14.6,123.0,61.5,73.0,50.0
91,2020,104137,Collin Johnson,Wide Receiver,WR,Texas,Longhorns,TEX,http://insider.espn.com/nfl/draft/player/_/id/104137,20.0,165.0,5.0,True,From LAR,Jacksonville Jaguars,JAX,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,e066f9844f2397f7ef1e8dd52da38b4d,222.0,78.0,17.0,107.0,68.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104137.png,2020.0,Texas,WR,77.63,222.0,9.0,31.75,,,17.0,,,,,,41164,4039043,Texas,188.0,47.0,68.0,28.0,2624.0,656.0,985.0,315.0,30.0,3.75,7.0,2.0,54.7,13.675,14.7,11.3,170.0,42.5,48.0,37.0
92,2020,104652,John Hightower,Wide Receiver,WR,Boise State,Broncos,BSU,http://insider.espn.com/nfl/draft/player/_/id/104652,23.0,168.0,5.0,True,From NE,Philadelphia Eagles,PHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/phi.png,b8c42ab2778367494798b3e73c4fb53c,189.0,74.0,36.0,231.0,41.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104652.png,2020.0,Boise State,WR,73.5,189.0,9.75,31.5,,4.43,,38.5,122.0,4.21,7.07,,41367,4373673,Boise State,82.0,41.0,51.0,31.0,1447.0,723.5,943.0,504.0,28.0,7.0,8.0,6.0,34.8,17.4,18.5,16.3,143.0,71.5,76.0,67.0
93,2020,104647,Isaiah Coulter,Wide Receiver,WR,Rhode Island,Rams,URI,http://insider.espn.com/nfl/draft/player/_/id/104647,26.0,171.0,5.0,False,,Houston Texans,HOU,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/hou.png,2a49427046fa9f2727b45741d18d828c,198.0,74.0,30.0,178.0,53.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104647.png,2020.0,Rhode Island,WR,73.88,198.0,9.0,31.75,,4.45,,36.0,121.0,4.62,7.28,,41496,4248504,Rhode Island,114.0,57.0,72.0,42.0,1643.0,821.5,1039.0,604.0,23.0,4.6,8.0,1.0,28.8,14.4,14.4,14.4,108.0,54.0,61.0,47.0
94,2020,104683,Darnell Mooney,Wide Receiver,WR,Tulane,Green Wave,TULN,http://insider.espn.com/nfl/draft/player/_/id/104683,28.0,173.0,5.0,True,"From BAL through LAR, MIA, and PHI",Chicago Bears,CHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/chi.png,6890b78776493a5fa8c64d050014d456,176.0,70.0,,,,https://a.espncdn.com/i/headshots/nfldraft/players/full/104683.png,2020.0,Tulane (LA),WR,70.0,176.0,9.63,30.88,,4.38,9.0,37.0,124.0,,,,41686,4040655,Tulane,154.0,38.5,48.0,24.0,2572.0,643.0,993.0,267.0,38.0,4.75,8.0,2.0,64.30000000000001,16.075000000000003,20.7,11.1,211.0,52.75,86.0,25.0
95,2020,104140,Donovan Peoples-Jones,Wide Receiver,WR,Michigan,Wolverines,MICH,http://insider.espn.com/nfl/draft/player/_/id/104140,8.0,187.0,6.0,True,From ARI,Cleveland Browns,CLE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,b9f18d272360a39a7000ecb5c85d6f47,212.0,74.0,21.0,126.0,64.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104140.png,2020.0,Michigan,WR,73.63,212.0,10.13,33.5,,4.48,,44.5,139.0,,,,42201,4258195,Michigan,103.0,34.333333333333336,47.0,22.0,1327.0,442.3333333333333,612.0,277.0,28.0,4.666666666666667,8.0,0.0,38.5,12.833333333333334,13.0,12.6,168.0,56.0,79.0,41.0
96,2020,104449,Quez Watkins,Wide Receiver,WR,Southern Mississippi,Golden Eagles,USM,http://insider.espn.com/nfl/draft/player/_/id/104449,21.0,200.0,6.0,True,From PHI through CHI,Philadelphia Eagles,PHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/phi.png,0ce27b93e2778a5252f9317d1305bdae,185.0,72.0,23.0,136.0,61.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104449.png,2020.0,Southern Mississippi,WR,72.13,185.0,9.0,32.88,,4.35,,36.5,125.0,4.36,7.28,,42924,4050373,Southern Mississippi,159.0,53.0,72.0,23.0,2404.0,801.3333333333334,1178.0,337.0,34.0,5.666666666666667,9.0,2.0,45.4,15.133333333333333,18.4,12.3,182.0,60.66666666666666,77.0,48.0
97,2020,104495,James Proche,Wide Receiver,WR,SMU,Mustangs,SMU,http://insider.espn.com/nfl/draft/player/_/id/104495,22.0,201.0,6.0,True,From BUF through MIN,Baltimore Ravens,BAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/bal.png,f2b918dc9a83066d1650c72adeb88226,201.0,71.0,28.0,164.0,55.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104495.png,2020.0,Southern Methodist (TX),WR,70.63,201.0,9.63,29.75,,,20.0,34.5,,4.4,7.27,,43030,3916204,SMU,301.0,75.25,111.0,40.0,3949.0,987.25,1225.0,709.0,78.0,9.75,15.0,6.0,56.7,14.175,20.4,11.0,259.0,64.75,86.0,52.0
98,2020,104439,Isaiah Hodgins,Wide Receiver,WR,Oregon State,Beavers,ORST,http://insider.espn.com/nfl/draft/player/_/id/104439,28.0,207.0,6.0,True,From BAL through NE,Buffalo Bills,BUF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/buf.png,23a2d44d20f71bfd5210ee7dc2f1bd82,210.0,76.0,32.0,187.0,51.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104439.png,2020.0,Oregon State,WR,75.63,210.0,9.88,33.13,,4.61,9.0,36.5,124.0,4.12,7.01,,43428,4242540,Oregon State,176.0,58.66666666666666,86.0,31.0,2322.0,774.0,1171.0,275.0,40.0,6.666666666666667,13.0,2.0,37.3,12.433333333333335,14.8,8.9,114.0,38.0,51.0,21.0
