,player_id,alt_player_id,player_name,school,Total Total Tackles,Mean Total Tackles,Highest Total Tackles,Lowest Total Tackles,Total Solo Tackles,Mean Solo Tackles,Highest Solo Tackles,Lowest Solo Tackles,Total Assist Tackles,Mean Assist Tackles,Highest Assist Tackles,Lowest Assist Tackles,Total Passes Defended,Mean Passes Defended,Highest Passes Defended,Lowest Passes Defended,Total Sacks,Mean Sacks,Highest Sacks,Lowest Sacks,Total Forced Fumbles,Mean Forced Fumbles,Highest Forced Fumbles,Lowest Forced Fumbles,Total Interceptions,Mean Interceptions,Highest Interceptions,Lowest Interceptions,Total Interception Yards,Mean Interception Yards,Highest Interception Yards,Lowest Interception Yards,Total Interception Touchdowns,Mean Interception Touchdowns,Highest Interception Touchdowns,Lowest Interception Touchdowns
2203,51605,3895859,Justin Evans,Texas A&M,165.0,82.5,87.0,78.0,99.0,49.5,52.0,47.0,66.0,33.0,35.0,31.0,8.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2447,51977,3122630,Ahkello Witherspoon,Colorado,71.0,23.666666666666668,36.0,12.0,60.0,20.0,34.0,7.0,11.0,3.6666666666666665,5.0,2.0,19.0,6.333333333333333,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2619,51817,3943270,Rasul Douglas,West Virginia,78.0,39.0,70.0,8.0,55.0,27.5,49.0,6.0,23.0,11.5,21.0,2.0,8.0,4.0,8.0,0.0,1.0,0.5,1.0,0.0,2.0,1.0,1.0,1.0,9.0,4.5,8.0,1.0,101.0,50.5,101.0,0.0,1.0,0.5,1.0,0.0
2816,51740,3134683,Montae Nicholson,Michigan State,199.0,66.33333333333333,85.0,31.0,108.0,36.0,52.0,18.0,91.0,30.333333333333332,47.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,4.0,1.3333333333333333,3.0,0.0,70.0,23.333333333333332,60.0,0.0,0.0,0.0,0.0,0.0
2852,51724,3126176,Howard Wilson,Houston,107.0,35.666666666666664,54.0,5.0,77.0,25.666666666666668,45.0,5.0,30.0,10.0,21.0,0.0,10.0,3.3333333333333335,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,5.0,1.0,63.0,21.0,58.0,0.0,1.0,0.3333333333333333,1.0,0.0
3140,51982,2985844,Treston Decoud,Oregon State,108.0,54.0,58.0,50.0,77.0,38.5,46.0,31.0,31.0,15.5,19.0,12.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,88.0,44.0,88.0,0.0,1.0,0.5,1.0,0.0
3368,51967,3894908,Shalom Luani,Washington State,157.0,78.5,90.0,67.0,114.0,57.0,67.0,47.0,43.0,21.5,23.0,20.0,6.0,3.0,6.0,0.0,2.0,1.0,2.0,0.0,3.0,1.5,2.0,1.0,8.0,4.0,4.0,4.0,200.0,100.0,109.0,91.0,1.0,0.5,1.0,0.0
4328,101662,3915535,Denzel Ward,Ohio State,67.0,22.333333333333332,37.0,7.0,47.0,15.666666666666666,30.0,5.0,20.0,6.666666666666667,11.0,2.0,24.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4658,101660,3925345,Minkah Fitzpatrick,Alabama,171.0,57.0,66.0,45.0,110.0,36.666666666666664,42.0,30.0,61.0,20.333333333333332,24.0,15.0,15.0,5.0,8.0,0.0,5.0,1.6666666666666667,2.0,1.5,2.0,0.6666666666666666,1.0,0.0,9.0,3.0,6.0,1.0,274.0,91.33333333333333,186.0,0.0,4.0,1.3333333333333333,2.0,0.0
4893,101661,3691739,Derwin James,Florida State,186.0,62.0,91.0,11.0,110.0,36.666666666666664,52.0,9.0,76.0,25.333333333333332,39.0,2.0,11.0,3.6666666666666665,11.0,0.0,5.5,1.8333333333333333,4.5,0.0,1.0,0.3333333333333333,1.0,0.0,3.0,1.0,2.0,0.0,41.0,13.666666666666666,41.0,0.0,1.0,0.3333333333333333,1.0,0.0
4947,101675,3895429,Jaire Alexander,Louisville,77.0,25.666666666666668,39.0,19.0,59.0,19.666666666666668,31.0,13.0,18.0,6.0,8.0,4.0,13.0,4.333333333333333,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,7.0,2.3333333333333335,5.0,1.0,42.0,14.0,37.0,0.0,0.0,0.0,0.0,0.0
5536,101847,3124067,Terrell Edmunds,Virginia Tech,183.0,61.0,89.0,34.0,91.0,30.333333333333332,45.0,16.0,92.0,30.666666666666668,44.0,18.0,7.0,2.3333333333333335,4.0,0.0,1.5,0.5,1.5,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,98.0,32.666666666666664,70.0,0.0,0.0,0.0,0.0,0.0
6446,101663,3144984,Josh Jackson,Iowa,66.0,22.0,48.0,8.0,52.0,17.333333333333332,34.0,8.0,14.0,4.666666666666667,14.0,0.0,22.0,7.333333333333333,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,8.0,2.6666666666666665,8.0,0.0,168.0,56.0,168.0,0.0,2.0,0.6666666666666666,2.0,0.0
6711,101665,3116679,M.J. Stewart,North Carolina,199.0,49.75,66.0,26.0,129.0,32.25,48.0,14.0,70.0,17.5,28.0,12.0,23.0,5.75,12.0,0.0,3.0,0.75,2.0,0.0,3.0,0.75,2.0,0.0,6.0,1.5,4.0,0.0,21.0,5.25,21.0,0.0,0.0,0.0,0.0,0.0
6756,101836,3919512,Jessie Bates III,Wake Forest,179.0,89.5,100.0,79.0,120.0,60.0,70.0,50.0,59.0,29.5,30.0,29.0,10.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,6.0,3.0,5.0,1.0,195.0,97.5,158.0,37.0,2.0,1.0,2.0,0.0
6810,101838,3843769,Donte Jackson,LSU,112.0,37.333333333333336,48.0,25.0,84.0,28.0,32.0,20.0,28.0,9.333333333333334,16.0,5.0,17.0,5.666666666666667,9.0,0.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,1.0,0.0,4.0,1.3333333333333333,2.0,1.0,40.0,13.333333333333334,40.0,0.0,0.0,0.0,0.0,0.0
6860,101751,3915437,Isaiah Oliver,Colorado,82.0,27.333333333333332,34.0,22.0,62.0,20.666666666666668,23.0,19.0,20.0,6.666666666666667,11.0,3.0,19.0,6.333333333333333,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,3.0,1.0,2.0,0.0,41.0,13.666666666666666,41.0,0.0,0.0,0.0,0.0,0.0
7175,101841,3916923,Carlton Davis,Auburn,138.0,46.0,56.0,36.0,102.0,34.0,38.0,27.0,36.0,12.0,18.0,9.0,21.0,7.0,11.0,0.0,0.5,0.16666666666666666,0.5,0.0,2.0,0.6666666666666666,1.0,0.0,4.0,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7283,101835,3931399,Justin Reid,Stanford,170.0,56.666666666666664,94.0,21.0,104.0,34.666666666666664,54.0,14.0,66.0,22.0,40.0,7.0,13.0,4.333333333333333,7.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,0.0,2.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0
8079,101664,3859006,Ronnie Harrison,Alabama,174.0,58.0,83.0,17.0,110.0,36.666666666666664,56.0,11.0,64.0,21.333333333333332,31.0,6.0,11.0,3.6666666666666665,7.0,0.0,3.5,1.1666666666666667,2.5,0.0,1.0,0.3333333333333333,1.0,0.0,7.0,2.3333333333333335,3.0,2.0,112.0,37.333333333333336,64.0,7.0,1.0,0.3333333333333333,1.0,0.0
8124,101916,4039278,Tarvarius Moore,Southern Mississippi,104.0,52.0,87.0,17.0,70.0,35.0,59.0,11.0,34.0,17.0,28.0,6.0,12.0,6.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,5.0,2.5,3.0,2.0,54.0,27.0,54.0,0.0,0.0,0.0,0.0,0.0
8243,101749,3122797,Isaac Yiadom,Boston College,109.0,27.25,53.0,12.0,75.0,18.75,36.0,7.0,34.0,8.5,17.0,3.0,17.0,4.25,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,3.0,0.75,2.0,0.0,30.0,7.5,30.0,0.0,0.0,0.0,0.0,0.0
8642,101851,3116152,Troy Apke,Penn State,109.0,27.25,54.0,1.0,63.0,15.75,37.0,1.0,46.0,11.5,17.0,0.0,5.0,1.25,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,2.0,0.5,1.0,0.0,11.0,2.75,10.0,0.0,0.0,0.0,0.0,0.0
8933,101681,3895798,Jordan Whitehead,Pittsburgh,233.0,77.66666666666667,108.0,60.0,161.0,53.666666666666664,74.0,41.0,72.0,24.0,34.0,19.0,6.0,2.0,4.0,0.0,0.5,0.16666666666666666,0.5,0.0,2.0,0.6666666666666666,1.0,0.0,3.0,1.0,1.0,1.0,59.0,19.666666666666668,59.0,0.0,1.0,0.3333333333333333,1.0,0.0
9021,101678,4039254,Kyzir White,West Virginia,152.0,76.0,94.0,58.0,114.0,57.0,66.0,48.0,38.0,19.0,28.0,10.0,9.0,4.5,5.0,4.0,4.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0,1.5,3.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
9103,101714,3121003,Taron Johnson,Weber State,9.0,2.25,7.0,0.0,6.0,1.5,6.0,0.0,3.0,0.75,2.0,0.0,3.0,0.75,2.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.5,3.0,0.0,59.0,14.75,59.0,0.0,0.0,0.0,0.0,0.0
9193,101671,3122136,Armani Watts,Texas A&M,327.0,81.75,126.0,56.0,215.0,53.75,83.0,36.0,112.0,28.0,43.0,20.0,8.0,2.0,5.0,0.0,1.5,0.375,1.0,0.0,6.0,1.5,3.0,0.0,10.0,2.5,4.0,1.0,61.0,15.25,36.0,0.0,0.0,0.0,0.0,0.0
9229,101865,3123938,Avonte Maddox,Pittsburgh,183.0,45.75,75.0,27.0,137.0,34.25,52.0,20.0,46.0,11.5,23.0,6.0,19.0,4.75,11.0,0.0,7.0,1.75,4.0,0.0,3.0,0.75,3.0,0.0,8.0,2.0,3.0,0.0,66.0,16.5,33.0,0.0,2.0,0.5,1.0,0.0
9914,101756,3139387,D.J. Reed,Kansas State,122.0,61.0,75.0,47.0,103.0,51.5,62.0,41.0,19.0,9.5,13.0,6.0,25.0,12.5,16.0,9.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,7.0,3.5,4.0,3.0,67.0,33.5,35.0,32.0,1.0,0.5,1.0,0.0
10067,101683,3116149,Marcus Allen,Penn State,320.0,80.0,110.0,58.0,181.0,45.25,57.0,35.0,139.0,34.75,53.0,23.0,5.0,1.25,3.0,0.0,3.0,0.75,1.0,0.0,4.0,1.0,2.0,0.0,1.0,0.25,1.0,0.0,50.0,12.5,50.0,0.0,0.0,0.0,0.0,0.0
10192,101871,3931422,Dane Cruikshank,Arizona,135.0,67.5,75.0,60.0,108.0,54.0,55.0,53.0,27.0,13.5,20.0,7.0,5.0,2.5,5.0,0.0,1.5,0.75,1.5,0.0,1.0,0.5,1.0,0.0,5.0,2.5,3.0,2.0,68.0,34.0,65.0,3.0,0.0,0.0,0.0,0.0
10987,101676,3116159,Chris Campbell,Penn State,103.0,25.75,47.0,10.0,61.0,15.25,29.0,6.0,42.0,10.5,18.0,1.0,15.0,3.75,10.0,0.0,1.0,0.25,1.0,0.0,2.0,0.5,2.0,0.0,3.0,0.75,1.0,0.0,16.0,4.0,18.0,-2.0,0.0,0.0,0.0,0.0
11245,101748,3122800,Kamrin Moore,Boston College,140.0,35.0,50.0,22.0,98.0,24.5,33.0,15.0,42.0,10.5,21.0,4.0,14.0,3.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,2.0,0.0,-1.0,-0.25,0.0,-1.0,0.0,0.0,0.0,0.0
11281,101779,3929846,DeShon Elliott,Texas,105.0,35.0,63.0,12.0,84.0,28.0,50.0,10.0,21.0,7.0,13.0,2.0,9.0,3.0,9.0,0.0,2.5,0.8333333333333334,1.5,0.0,2.0,0.6666666666666666,2.0,0.0,9.0,3.0,6.0,1.0,156.0,52.0,127.0,5.0,2.0,0.6666666666666666,2.0,0.0
11988,102670,3122593,Devante Downs,California,211.0,52.75,83.0,29.0,110.0,27.5,42.0,13.0,101.0,25.25,41.0,15.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,0.0,2.0,0.5,1.0,0.0,5.0,1.25,2.0,0.0,59.0,14.75,39.0,0.0,1.0,0.25,1.0,0.0
12493,101870,3124086,Greg Stroman,Virginia Tech,61.0,15.25,24.0,3.0,39.0,9.75,16.0,2.0,22.0,5.5,8.0,1.0,21.0,5.25,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.25,4.0,0.0,45.0,11.25,47.0,-2.0,1.0,0.25,1.0,0.0
12647,102614,3117135,Keion Crossen,Western Carolina,31.0,10.333333333333334,20.0,0.0,25.0,8.333333333333334,16.0,0.0,6.0,2.0,4.0,0.0,4.0,1.3333333333333333,4.0,0.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,1.0,0.0,3.0,1.0,2.0,0.0,80.0,26.666666666666668,65.0,0.0,0.0,0.0,0.0,0.0
12811,101778,3929847,Holton Hill,Texas,122.0,40.666666666666664,51.0,22.0,92.0,30.666666666666668,39.0,16.0,30.0,10.0,12.0,6.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,3.0,1.0,2.0,0.0,117.0,39.0,76.0,0.0,3.0,1.0,2.0,0.0
12975,101668,3843234,Kevin Toliver,LSU,82.0,27.333333333333332,35.0,20.0,49.0,16.333333333333332,24.0,11.0,33.0,11.0,13.0,9.0,11.0,3.6666666666666665,10.0,0.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,1.0,0.0,2.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13002,101758,3121649,J.C. Jackson,Maryland,80.0,40.0,40.0,40.0,62.0,31.0,33.0,29.0,18.0,9.0,11.0,7.0,13.0,6.5,7.0,6.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,4.0,2.0,3.0,1.0,10.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0
13047,101666,3921563,Tarvarus McFadden,Florida State,53.0,17.666666666666668,30.0,4.0,41.0,13.666666666666666,21.0,4.0,12.0,4.0,9.0,0.0,16.0,5.333333333333333,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.6666666666666665,8.0,0.0,16.0,5.333333333333333,16.0,0.0,0.0,0.0,0.0,0.0
13220,101685,3141066,Danny Johnson,Southern,21.0,5.25,13.0,0.0,16.0,4.0,9.0,0.0,5.0,1.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,15.0,3.75,7.0,2.0,292.0,73.0,118.0,0.0,3.0,0.75,2.0,0.0
13319,101771,3139926,Kameron Kelly,San Diego State,164.0,41.0,67.0,1.0,110.0,27.5,54.0,0.0,54.0,13.5,21.0,1.0,12.0,3.0,7.0,0.0,2.0,0.5,2.0,0.0,2.0,0.5,2.0,0.0,10.0,2.5,5.0,0.0,122.0,30.5,47.0,0.0,0.0,0.0,0.0,0.0
13373,101687,3124849,Chandon Sullivan,Georgia State,181.0,45.25,50.0,42.0,146.0,36.5,42.0,30.0,35.0,8.75,12.0,5.0,5.0,1.25,5.0,0.0,2.0,0.5,2.0,0.0,1.0,0.25,1.0,0.0,7.0,1.75,3.0,1.0,25.0,6.25,25.0,0.0,1.0,0.25,1.0,0.0
13583,101869,3116166,Grant Haley,Penn State,138.0,34.5,42.0,18.0,89.0,22.25,27.0,12.0,49.0,12.25,16.0,6.0,10.0,2.5,7.0,0.0,2.0,0.5,2.0,0.0,1.0,0.25,1.0,0.0,5.0,1.25,2.0,0.0,76.0,19.0,46.0,0.0,1.0,0.25,1.0,0.0
13642,101909,3121589,Stephen Roberts,Auburn,137.0,34.25,57.0,3.0,81.0,20.25,33.0,2.0,56.0,14.0,24.0,1.0,9.0,2.25,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,2.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13757,101684,3124020,Quin Blanding,Virginia,493.0,123.25,137.0,115.0,260.0,65.0,70.0,60.0,233.0,58.25,75.0,47.0,2.0,0.5,2.0,0.0,1.0,0.25,1.0,0.0,1.0,0.25,1.0,0.0,10.0,2.5,4.0,1.0,108.0,27.0,72.0,0.0,1.0,0.25,1.0,0.0
13802,101705,3931400,Quenton Meeks,Stanford,115.0,38.333333333333336,61.0,19.0,76.0,25.333333333333332,38.0,14.0,39.0,13.0,23.0,5.0,13.0,4.333333333333333,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.3333333333333335,3.0,2.0,144.0,48.0,83.0,11.0,2.0,0.6666666666666666,1.0,0.0
13874,101718,3125248,Jeremy Reaves,South Alabama,296.0,74.0,100.0,16.0,205.0,51.25,67.0,14.0,91.0,22.75,33.0,2.0,12.0,3.0,7.0,0.0,1.5,0.375,1.5,0.0,8.0,2.0,3.0,1.0,8.0,2.0,3.0,0.0,46.0,11.5,39.0,0.0,0.0,0.0,0.0,0.0
13910,101719,3133440,Levi  Wallace,Alabama,59.0,29.5,48.0,11.0,38.0,19.0,31.0,7.0,21.0,10.5,17.0,4.0,17.0,8.5,15.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,3.0,0.0,66.0,33.0,66.0,0.0,1.0,0.5,1.0,0.0
13937,101856,3121433,Damon Webb,Ohio State,131.0,32.75,61.0,3.0,82.0,20.5,44.0,3.0,49.0,12.25,25.0,0.0,6.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,6.0,1.5,5.0,0.0,110.0,27.5,74.0,0.0,2.0,0.5,1.0,0.0
14301,101863,4038830,JaMarcus King,South Carolina,95.0,47.5,54.0,41.0,85.0,42.5,50.0,35.0,10.0,5.0,6.0,4.0,21.0,10.5,12.0,9.0,1.0,0.5,1.0,0.0,1.0,0.5,1.0,0.0,5.0,2.5,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14461,101686,3138733,Sean Chandler,Temple,265.0,66.25,79.0,51.0,183.0,45.75,56.0,30.0,82.0,20.5,23.0,17.0,4.0,1.0,4.0,0.0,3.0,0.75,1.0,0.0,3.0,0.75,1.0,0.0,10.0,2.5,4.0,1.0,155.0,38.75,92.0,0.0,2.0,0.5,2.0,0.0
14533,101878,3125356,Jalen Davis,Utah State,181.0,45.25,60.0,33.0,123.0,30.75,43.0,24.0,58.0,14.5,19.0,9.0,15.0,3.75,15.0,0.0,8.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,11.0,2.75,5.0,1.0,242.0,60.5,120.0,20.0,4.0,1.0,3.0,0.0
15224,101887,4048717,Rico Gafford,Wyoming,103.0,51.5,60.0,43.0,76.0,38.0,47.0,29.0,27.0,13.5,14.0,13.0,11.0,5.5,6.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,6.0,3.0,4.0,2.0,109.0,54.5,64.0,45.0,1.0,0.5,1.0,0.0
16270,103927,3915419,Darnell Savage Jr.,Maryland,182.0,45.5,59.0,12.0,139.0,34.75,45.0,11.0,43.0,10.75,14.0,1.0,14.0,3.5,8.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.75,4.0,0.0,153.0,38.25,93.0,0.0,2.0,0.5,1.0,0.0
16635,103518,3915163,Deandre Baker,Georgia,116.0,29.0,44.0,1.0,83.0,20.75,31.0,1.0,33.0,8.25,14.0,0.0,23.0,5.75,9.0,0.0,1.0,0.25,1.0,0.0,2.0,0.5,1.0,0.0,7.0,1.75,3.0,0.0,145.0,36.25,81.0,0.0,0.0,0.0,0.0,0.0
16803,103578,4038999,Byron Murphy,Washington,74.0,37.0,58.0,16.0,50.0,25.0,37.0,13.0,24.0,12.0,21.0,3.0,20.0,10.0,13.0,7.0,1.0,0.5,1.0,0.0,2.0,1.0,1.0,1.0,7.0,3.5,4.0,3.0,95.0,47.5,78.0,17.0,1.0,0.5,1.0,0.0
16830,103745,3910229,Rock Ya-Sin,Temple,62.0,20.666666666666668,47.0,6.0,49.0,16.333333333333332,36.0,6.0,13.0,4.333333333333333,11.0,0.0,15.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.3333333333333335,5.0,0.0,44.0,14.666666666666666,45.0,-1.0,0.0,0.0,0.0,0.0
17020,103891,3932886,Sean Bunting,Central Michigan,104.0,34.666666666666664,49.0,18.0,72.0,24.0,34.0,12.0,32.0,10.666666666666666,15.0,6.0,15.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,1.3333333333333333,2.0,0.0,9.0,3.0,5.0,2.0,35.0,11.666666666666666,19.0,0.0,0.0,0.0,0.0,0.0
17065,103840,4035458,Trayvon Mullen,Clemson,92.0,30.666666666666668,40.0,16.0,67.0,22.333333333333332,30.0,7.0,25.0,8.333333333333334,10.0,6.0,7.0,2.3333333333333335,3.0,1.0,2.0,0.6666666666666666,2.0,0.0,1.0,0.3333333333333333,1.0,0.0,4.0,1.3333333333333333,3.0,0.0,46.0,15.333333333333334,46.0,0.0,0.0,0.0,0.0,0.0
17260,103875,4035286,Joejuan Williams,Vanderbilt,119.0,39.666666666666664,61.0,19.0,95.0,31.666666666666668,48.0,14.0,24.0,8.0,13.0,5.0,25.0,8.333333333333334,13.0,2.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,4.0,1.3333333333333333,4.0,0.0,8.0,2.6666666666666665,8.0,0.0,0.0,0.0,0.0,0.0
17287,103506,4035437,Greedy Williams,LSU,71.0,35.5,38.0,33.0,49.0,24.5,26.0,23.0,22.0,11.0,12.0,10.0,20.0,10.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,6.0,2.0,52.0,26.0,32.0,20.0,0.0,0.0,0.0,0.0
17305,103650,4243244,Marquise Blair,Utah,106.0,53.0,59.0,47.0,79.0,39.5,44.0,35.0,27.0,13.5,15.0,12.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,2.0,1.0,2.0,0.0,5.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0
17614,103598,4240780,Lonnie Johnson Jr.,Kentucky,64.0,32.0,41.0,23.0,52.0,26.0,35.0,17.0,12.0,6.0,6.0,6.0,9.0,4.5,5.0,4.0,1.0,0.5,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,1.0,0.0,24.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0
17936,103728,3912028,Nasir Adderley,Delaware,9.0,3.0,6.0,0.0,3.0,1.0,2.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,11.0,3.6666666666666665,5.0,2.0,158.0,52.666666666666664,135.0,1.0,1.0,0.3333333333333333,1.0,0.0
18008,103541,4039007,Taylor Rapp,Washington,169.0,56.333333333333336,59.0,51.0,104.0,34.666666666666664,42.0,29.0,65.0,21.666666666666668,26.0,17.0,6.0,2.0,4.0,0.0,7.0,2.3333333333333335,5.0,0.0,2.0,0.6666666666666666,1.0,0.0,7.0,2.3333333333333335,4.0,1.0,59.0,19.666666666666668,58.0,0.0,1.0,0.3333333333333333,1.0,0.0
18165,103727,3917909,Juan Thornhill,Virginia,208.0,52.0,98.0,2.0,141.0,35.25,62.0,2.0,67.0,16.75,36.0,0.0,19.0,4.75,12.0,0.0,1.5,0.375,1.0,0.0,1.0,0.25,1.0,0.0,13.0,3.25,6.0,0.0,177.0,44.25,141.0,0.0,0.0,0.0,0.0,0.0
19007,103842,4046536,David Long,Michigan,37.0,18.5,20.0,17.0,21.0,10.5,11.0,10.0,16.0,8.0,9.0,7.0,11.0,5.5,6.0,5.0,0.5,0.25,0.5,0.0,0.0,0.0,0.0,0.0,3.0,1.5,2.0,1.0,120.0,60.0,105.0,15.0,0.0,0.0,0.0,0.0
19061,103738,3915297,Will Harris,Boston College,223.0,55.75,83.0,20.0,138.0,34.5,45.0,17.0,85.0,21.25,38.0,3.0,6.0,1.5,4.0,0.0,1.0,0.25,1.0,0.0,1.0,0.25,1.0,0.0,5.0,1.25,2.0,1.0,65.0,16.25,64.0,0.0,0.0,0.0,0.0,0.0
19124,103847,4046719,Justin Layne,Michigan State,130.0,43.333333333333336,72.0,18.0,79.0,26.333333333333332,44.0,11.0,51.0,17.0,28.0,7.0,23.0,7.666666666666667,15.0,0.0,0.5,0.16666666666666666,0.5,0.0,1.0,0.3333333333333333,1.0,0.0,3.0,1.0,1.0,1.0,49.0,16.333333333333332,43.0,0.0,1.0,0.3333333333333333,1.0,0.0
19596,103733,3873935,Jamel Dean,Auburn,71.0,35.5,43.0,28.0,45.0,22.5,23.0,22.0,26.0,13.0,20.0,6.0,17.0,8.5,9.0,8.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19696,103739,3155647,Mike Edwards,Kentucky,317.0,79.25,100.0,39.0,190.0,47.5,56.0,25.0,127.0,31.75,44.0,14.0,21.0,5.25,8.0,0.0,1.5,0.375,1.0,0.0,2.0,0.5,1.0,0.0,10.0,2.5,4.0,1.0,146.0,36.5,79.0,1.0,2.0,0.5,1.0,0.0
19921,103550,4034953,Chauncey Gardner-Johnson,Florida,161.0,53.666666666666664,71.0,32.0,92.0,30.666666666666668,37.0,21.0,69.0,23.0,34.0,11.0,12.0,4.0,7.0,2.0,4.0,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,4.0,2.0,301.0,100.33333333333333,110.0,88.0,3.0,1.0,2.0,0.0
20056,103540,4046675,Julian Love,Notre Dame,172.0,57.333333333333336,64.0,45.0,123.0,41.0,49.0,32.0,49.0,16.333333333333332,22.0,13.0,34.0,11.333333333333334,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,5.0,1.6666666666666667,3.0,1.0,159.0,53.0,153.0,2.0,2.0,0.6666666666666666,2.0,0.0
20101,103748,3929835,Khari Willis,Michigan State,196.0,49.0,84.0,11.0,98.0,24.5,41.0,2.0,98.0,24.5,43.0,9.0,13.0,3.25,10.0,0.0,4.0,1.0,4.0,0.0,2.0,0.5,1.0,0.0,4.0,1.0,2.0,0.0,50.0,12.5,30.0,0.0,0.0,0.0,0.0,0.0
