,player_id,alt_player_id,player_name,school,Total Total Tackles,Mean Total Tackles,Highest Total Tackles,Lowest Total Tackles,Total Solo Tackles,Mean Solo Tackles,Highest Solo Tackles,Lowest Solo Tackles,Total Assist Tackles,Mean Assist Tackles,Highest Assist Tackles,Lowest Assist Tackles,Total Passes Defended,Mean Passes Defended,Highest Passes Defended,Lowest Passes Defended,Total Sacks,Mean Sacks,Highest Sacks,Lowest Sacks,Total Forced Fumbles,Mean Forced Fumbles,Highest Forced Fumbles,Lowest Forced Fumbles,Total Interceptions,Mean Interceptions,Highest Interceptions,Lowest Interceptions,Total Interception Yards,Mean Interception Yards,Highest Interception Yards,Lowest Interception Yards,Total Interception Touchdowns,Mean Interception Touchdowns,Highest Interception Touchdowns,Lowest Interception Touchdowns
57803,105306,4241195,Tyree Gillespie,Missouri,146.0,36.5,50.0,2.0,100.0,25.0,37.0,0.0,46.0,11.5,17.0,2.0,12.0,3.0,7.0,0.0,2.0,0.5,1.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58099,104817,4258209,Ambry Thomas,Michigan,54.0,18.0,38.0,7.0,43.0,14.333333333333334,30.0,6.0,11.0,3.6666666666666665,8.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,4.0,1.3333333333333333,3.0,0.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
58348,104758,4362855,Israel Mukuamu,South Carolina,86.0,28.666666666666668,59.0,10.0,64.0,21.333333333333332,45.0,6.0,22.0,7.333333333333333,14.0,4.0,10.0,3.3333333333333335,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,7.0,2.3333333333333335,4.0,1.0,135.0,45.0,56.0,26.0,1.0,0.3333333333333333,1.0,0.0
58456,105328,4241199,Joshuah Bledsoe,Missouri,130.0,32.5,49.0,13.0,87.0,21.75,35.0,9.0,43.0,10.75,17.0,4.0,18.0,4.5,10.0,0.0,1.0,0.25,1.0,0.0,2.0,0.5,1.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58998,105284,4361331,Jamien Sherwood,Auburn,130.0,43.333333333333336,65.0,22.0,73.0,24.333333333333332,40.0,12.0,57.0,19.0,25.0,10.0,10.0,3.3333333333333335,5.0,2.0,2.5,0.8333333333333334,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59168,104793,4240602,Shawn Davis,Florida,126.0,31.5,51.0,11.0,77.0,19.25,33.0,3.0,49.0,12.25,18.0,6.0,10.0,2.5,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,5.0,1.25,3.0,0.0,156.0,39.0,111.0,0.0,0.0,0.0,0.0,0.0
59269,104869,4240705,Paris Ford,Pittsburgh,143.0,47.666666666666664,97.0,5.0,93.0,31.0,60.0,3.0,50.0,16.666666666666668,37.0,2.0,14.0,4.666666666666667,11.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,6.0,2.0,3.0,0.0,103.0,34.333333333333336,69.0,0.0,1.0,0.3333333333333333,1.0,0.0
59401,104860,4567979,Brandin Echols,Kentucky,101.0,50.5,54.0,47.0,81.0,40.5,43.0,38.0,20.0,10.0,11.0,9.0,11.0,5.5,9.0,2.0,1.0,0.5,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59455,104845,4037626,Divine Deablo,Virginia Tech,205.0,41.0,84.0,4.0,117.0,23.4,42.0,2.0,88.0,17.6,42.0,2.0,11.0,2.2,4.0,0.0,0.5,0.1,0.5,0.0,3.0,0.6,1.0,0.0,6.0,1.2,4.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
59737,104802,4242204,JaCoby Stevens,LSU,190.0,63.333333333333336,92.0,35.0,102.0,34.0,53.0,19.0,88.0,29.333333333333332,39.0,16.0,15.0,5.0,6.0,4.0,9.5,3.1666666666666665,5.0,1.5,1.0,0.3333333333333333,1.0,0.0,4.0,1.3333333333333333,3.0,0.0,10.0,3.3333333333333335,9.0,0.0,0.0,0.0,0.0,0.0
