,draft_year,player_id,player_name,position,pos_abbr,school_x,school_name,school_abbr,link,pick,overall,round,traded,trade_note,team,team_abbr,team_logo_espn,guid,weight,height,pos_rk,ovr_rk,grade,player_image,Year,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Unnamed: 0,alt_player_id,school_y,Total Total Tackles,Mean Total Tackles,Highest Total Tackles,Lowest Total Tackles,Total Solo Tackles,Mean Solo Tackles,Highest Solo Tackles,Lowest Solo Tackles,Total Assist Tackles,Mean Assist Tackles,Highest Assist Tackles,Lowest Assist Tackles,Total Passes Defended,Mean Passes Defended,Highest Passes Defended,Lowest Passes Defended,Total Sacks,Mean Sacks,Highest Sacks,Lowest Sacks,Total Forced Fumbles,Mean Forced Fumbles,Highest Forced Fumbles,Lowest Forced Fumbles,Total Interceptions,Mean Interceptions,Highest Interceptions,Lowest Interceptions,Total Interception Yards,Mean Interception Yards,Highest Interception Yards,Lowest Interception Yards,Total Interception Touchdowns,Mean Interception Touchdowns,Highest Interception Touchdowns,Lowest Interception Touchdowns
89,2020,104476,A.J. Terrell,Cornerback,CB,Clemson,Tigers,CLEM,http://insider.espn.com/nfl/draft/player/_/id/104476,16.0,16.0,1.0,False,,Atlanta Falcons,ATL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/atl.png,bded3cfda34ca6d2cd3352475abc6063,195.0,73.0,6.0,51.0,83.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104476.png,2020,Clemson,CB,73.13,195,,4.42,15.0,34.5,129.0,4.27,7.12,33993,4239995,Clemson,102.0,34.0,53.0,15.0,73.0,24.33333333333333,40.0,9.0,29.0,9.666666666666666,13.0,6.0,11.0,3.6666666666666665,5.0,3.0,0.5,0.1666666666666666,0.5,0.0,2.0,0.6666666666666666,2.0,0.0,6.0,2.0,3.0,1.0,160.0,53.333333333333336,95.0,0.0,1.0,0.3333333333333333,1.0,0.0
90,2020,104223,Damon Arnette,Cornerback,CB,Ohio State,Buckeyes,OSU,http://insider.espn.com/nfl/draft/player/_/id/104223,19.0,19.0,1.0,True,From CHI,Las Vegas Raiders,LV,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lv.png,40119a400c2f5e50f29f99c71897a76d,195.0,72.0,7.0,58.0,80.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104223.png,2020,Ohio State,CB,71.63,195,,4.56,,,,,,34150,3915506,Ohio State,140.0,35.0,44.0,21.0,104.0,26.0,35.0,11.0,36.0,9.0,10.0,8.0,22.0,5.5,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,5.0,1.25,2.0,1.0,132.0,33.0,96.0,0.0,1.0,0.25,1.0,0.0
91,2020,104428,Noah Igbinoghene,Cornerback,CB,Auburn,Tigers,AUB,http://insider.espn.com/nfl/draft/player/_/id/104428,30.0,30.0,1.0,True,From GB,Miami Dolphins,MIA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/mia.png,ddab1ac70b9a37d843a2b5f926307c85,198.0,70.0,8.0,60.0,79.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104428.png,2020,Auburn,CB,70.38,198,,4.48,15.0,37.0,128.0,4.19,7.1,34620,4242516,Auburn,87.0,43.5,45.0,42.0,65.0,32.5,37.0,28.0,22.0,11.0,14.0,8.0,18.0,9.0,11.0,7.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2020,104219,Jeff Gladney,Cornerback,CB,TCU,Horned Frogs,TCU,http://insider.espn.com/nfl/draft/player/_/id/104219,31.0,31.0,1.0,True,From SF,Minnesota Vikings,MIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/min.png,cdf59f724fe8f11f2de25093bee9674b,191.0,70.0,4.0,43.0,85.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104219.png,2020,Texas Christian,CB,70.25,191,,4.48,17.0,37.5,124.0,,7.26,34693,3676819,TCU,146.0,36.5,46.0,28.0,107.0,26.75,30.0,23.0,39.0,9.75,16.0,5.0,38.0,9.5,14.0,5.0,1.5,0.375,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.25,2.0,0.0,128.0,32.0,94.0,0.0,0.0,0.0,0.0,0.0
93,2020,104210,Jaylon Johnson,Cornerback,CB,Utah,Utes,UTAH,http://insider.espn.com/nfl/draft/player/_/id/104210,18.0,50.0,2.0,False,,Chicago Bears,CHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/chi.png,5a41d2618616165fc459137b6b1681f1,193.0,72.0,5.0,44.0,85.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104210.png,2020,Utah,CB,71.88,193,,4.5,15.0,36.5,124.0,4.13,7.01,35763,4243253,Utah,102.0,34.0,41.0,25.0,88.0,29.33333333333333,34.0,23.0,14.0,4.666666666666667,10.0,2.0,21.0,7.0,11.0,4.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.333333333333333,4.0,1.0,165.0,55.0,126.0,0.0,2.0,0.6666666666666666,1.0,0.0
94,2020,104110,Trevon Diggs,Cornerback,CB,Alabama,Crimson Tide,ALA,http://insider.espn.com/nfl/draft/player/_/id/104110,19.0,51.0,2.0,False,,Dallas Cowboys,DAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/dal.png,0e3bdc4eae64a3a78e8495d4d2ebb408,205.0,73.0,3.0,39.0,86.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104110.png,2020,Alabama,CB,73.38,205,,,,,,,,35808,4040966,Alabama,68.0,17.0,37.0,5.0,43.0,10.75,20.0,2.0,25.0,6.25,17.0,2.0,17.0,4.25,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,4.0,1.0,3.0,0.0,79.0,19.75,79.0,0.0,1.0,0.25,1.0,0.0
95,2020,104102,Kristian Fulton,Cornerback,CB,LSU,Tigers,LSU,http://insider.espn.com/nfl/draft/player/_/id/104102,29.0,61.0,2.0,False,,Tennessee Titans,TEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ten.png,b395ca2f80fa56f95803338a585e24a5,197.0,72.0,10.0,80.0,74.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104102.png,2020,Louisiana State,CB,71.63,197,,4.46,,35.5,123.0,4.36,6.94,36530,4035433,LSU,61.0,20.33333333333333,38.0,2.0,46.0,15.333333333333334,28.0,1.0,15.0,5.0,10.0,1.0,21.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,2.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2020,104446,Cameron Dantzler,Cornerback,CB,Mississippi State,Bulldogs,MSST,http://insider.espn.com/nfl/draft/player/_/id/104446,25.0,89.0,3.0,False,,Minnesota Vikings,MIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/min.png,ab3880cd698d4d3e5fc51993e592f534,188.0,74.0,12.0,96.0,70.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104446.png,2020,Mississippi State,CB,74.25,188,,4.64,,34.5,,,,37807,4035385,Mississippi State,107.0,35.666666666666664,42.0,25.0,77.0,25.666666666666668,31.0,15.0,30.0,10.0,11.0,9.0,17.0,5.666666666666667,8.0,3.0,1.5,0.5,1.0,0.0,1.0,0.3333333333333333,1.0,0.0,5.0,1.6666666666666667,2.0,1.0,23.0,7.666666666666667,15.0,0.0,0.0,0.0,0.0,0.0
97,2020,104208,Darnay Holmes,Cornerback,CB,UCLA,Bruins,UCLA,http://insider.espn.com/nfl/draft/player/_/id/104208,4.0,110.0,4.0,False,,New York Giants,NYG,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png,82cd5fd7df983db75674b72936bf9ccf,195.0,70.0,15.0,123.0,65.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104208.png,2020,UCLA,CB,69.75,195,,4.48,12.0,,,,,38701,4242973,UCLA,121.0,40.333333333333336,49.0,33.0,89.0,29.666666666666668,37.0,23.0,32.0,10.666666666666666,12.0,10.0,17.0,5.666666666666667,8.0,3.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,2.0,0.0,8.0,2.6666666666666665,3.0,2.0,61.0,20.33333333333333,31.0,0.0,2.0,0.6666666666666666,1.0,0.0
98,2020,104444,Josiah Scott,Cornerback,CB,Michigan State,Spartans,MSU,http://insider.espn.com/nfl/draft/player/_/id/104444,31.0,137.0,4.0,True,From SF through DEN,Jacksonville Jaguars,JAX,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,c41669c04988db4850ae1cede5718c42,185.0,69.0,18.0,147.0,59.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104444.png,2020,Michigan State,CB,69.25,185,,4.42,17.0,,,,,40014,4241977,Michigan State,98.0,32.666666666666664,55.0,13.0,66.0,22.0,38.0,7.0,32.0,10.666666666666666,17.0,6.0,24.0,8.0,10.0,7.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,1.0,0.0,7.0,2.333333333333333,3.0,2.0,46.0,15.333333333333334,34.0,0.0,0.0,0.0,0.0,0.0
