,draft_year,player_id,player_name,position,pos_abbr,school_x,school_name,school_abbr,link,pick,overall,round,traded,trade_note,team,team_abbr,team_logo_espn,guid,weight,height,pos_rk,ovr_rk,grade,player_image,Year,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,Unnamed: 0,alt_player_id,school_y,Total Rushing Attempts,Mean Rushing Attempts,Highest Rushing Attempts,Lowest Rushing Attempts,Total Rushing Yards,Mean Rushing Yards,Highest Rushing Yards,Lowest Rushing Yards,Total Yards Per Rush Attempt,Mean Yards Per Rush Attempt,Highest Yards Per Rush Attempt,Lowest Yards Per Rush Attempt,Total Rushing Touchdowns,Mean Rushing Touchdowns,Highest Rushing Touchdowns,Lowest Rushing Touchdowns,Total Long Rushing,Mean Long Rushing,Highest Long Rushing,Lowest Long Rushing,Total Receptions,Mean Receptions,Highest Receptions,Lowest Receptions,Total Receiving Yards,Mean Receiving Yards,Highest Receiving Yards,Lowest Receiving Yards,Total Yards Per Reception,Mean Yards Per Reception,Highest Yards Per Reception,Lowest Yards Per Reception,Total Long Reception,Mean Long Reception,Highest Long Reception,Lowest Long Reception,Total Receiving Touchdowns,Mean Receiving Touchdowns,Highest Receiving Touchdowns,Lowest Receiving Touchdowns
10,2017,51904,Christopher Carson,Running Back,RB,Oklahoma State,Cowboys,OKST,http://insider.espn.com/nfl/draft/player/_/id/51904,31.0,249.0,7.0,True,From ATL,Seattle Seahawks,SEA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sea.png,725bc831769e86fbc2b65fc64d62aa43,218.0,72.0,32.0,,30.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/51904.png,2017.0,Oklahoma State,RB,72.25,218.0,9.63,33.25,,4.58,23.0,37.0,130.0,4.32,7.62,,3664,3919596,Oklahoma State,213.0,106.5,131.0,82.0,1076.0,538.0,559.0,517.0,10.7,5.35,6.8,3.9,26.0,6.5,9.0,4.0,52.0,26.0,26.0,26.0,30.0,15.0,17.0,13.0,298.0,149.0,170.0,128.0,19.8,9.9,10.0,9.8,46.0,23.0,28.0,18.0,2.0,0.5,1.0,0.0
11,2017,52096,Stanley Williams,Running Back,RB,Kentucky,Wildcats,UK,http://insider.espn.com/nfl/draft/player/_/id/52096,,,,,,,,,2054c7d690b1e26329b0846c929263a1,190.0,67.5,30.0,319.0,34.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/52096.png,2017.0,Kentucky,RB,67.13,190.0,8.63,30.0,,4.43,18.0,36.0,121.0,4.18,6.86,,4093,3126338,Kentucky,366.0,122.0,171.0,74.0,2511.0,837.0,1170.0,486.0,20.5,6.833333333333333,7.1,6.6,36.0,6.0,7.0,5.0,196.0,65.33333333333333,75.0,58.0,38.0,12.666666666666666,17.0,8.0,292.0,97.33333333333331,162.0,56.0,22.2,7.399999999999999,9.5,5.7,69.0,23.0,32.0,15.0,4.0,0.6666666666666666,1.0,0.0
12,2018,101507,Saquon Barkley,Running Back,RB,Penn State,Nittany Lions,PSU,http://insider.espn.com/nfl/draft/player/_/id/101507,2.0,2.0,1.0,False,,New York Giants,NYG,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png,94486c18dd3e6081a3fe4a26b71ddcdc,233.0,72.0,1.0,1.0,97.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/101507.png,2018.0,Penn State,RB,72.0,233.0,9.5,31.38,,4.4,29.0,41.0,,4.24,,,4168,3929630,Penn State,671.0,223.66666666666663,272.0,182.0,3843.0,1281.0,1496.0,1076.0,17.3,5.766666666666667,5.9,5.5,86.0,14.333333333333334,18.0,7.0,229.0,76.33333333333333,92.0,56.0,102.0,34.0,54.0,20.0,1195.0,398.3333333333333,632.0,161.0,34.2,11.4,14.4,8.1,161.0,53.66666666666666,85.0,32.0,16.0,2.6666666666666665,4.0,1.0
13,2018,101710,Rashaad Penny,Running Back,RB,San Diego State,Aztecs,SDSU,http://insider.espn.com/nfl/draft/player/_/id/101710,27.0,27.0,1.0,True,From GB thru NO,Seattle Seahawks,SEA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sea.png,b4a4f3cb54e04903043e9c8b1004d506,220.0,71.0,5.0,47.0,84.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/101710.png,2018.0,San Diego State,RB,71.0,220.0,9.25,31.25,,4.46,13.0,32.5,120.0,,,,5406,3139925,San Diego State,487.0,97.4,289.0,0.0,3643.0,728.6,2248.0,0.0,32.2,6.44,11.0,0.0,76.0,8.444444444444445,23.0,0.0,244.0,48.8,95.0,0.0,42.0,14.0,19.0,8.0,479.0,159.66666666666666,224.0,120.0,37.0,12.333333333333334,15.0,7.1,107.0,35.666666666666664,41.0,33.0,13.0,1.8571428571428568,3.0,1.0
14,2018,101712,Sony Michel,Running Back,RB,Georgia,Bulldogs,UGA,http://insider.espn.com/nfl/draft/player/_/id/101712,31.0,31.0,1.0,False,,New England Patriots,NE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ne.png,818a3ae0b28b48a39c0e479ed964c78a,214.0,71.0,2.0,31.0,87.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/101712.png,2018.0,Georgia,RB,70.63,214.0,9.13,31.25,,4.54,22.0,,,4.21,,,5622,3128721,Georgia,591.0,147.75,219.0,64.0,3638.0,909.5,1227.0,410.0,25.1,6.275,7.9,5.3,66.0,8.25,16.0,4.0,258.0,64.5,75.0,42.0,64.0,16.0,26.0,7.0,621.0,155.25,270.0,96.0,43.0,10.75,15.1,6.8,146.0,36.5,48.0,32.0,12.0,1.5,3.0,1.0
15,2018,101549,Nick Chubb,Running Back,RB,Georgia,Bulldogs,UGA,http://insider.espn.com/nfl/draft/player/_/id/101549,3.0,35.0,2.0,True,From HOU,Cleveland Browns,CLE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,42e73a6db7dfa3f4ada30ce6de201072,227.0,71.0,3.0,34.0,86.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/101549.png,2018.0,Georgia,RB,70.88,227.0,9.63,32.0,,4.52,29.0,38.5,128.0,4.25,7.09,,5833,3128720,Georgia,758.0,189.5,224.0,92.0,4769.0,1192.25,1547.0,747.0,26.2,6.55,8.1,5.0,88.0,11.0,15.0,7.0,276.0,69.0,83.0,55.0,31.0,7.75,18.0,4.0,361.0,90.25,213.0,30.0,44.5,11.125,17.2,7.5,111.0,27.75,49.0,11.0,8.0,1.0,2.0,0.0
16,2018,101522,Kerryon Johnson,Running Back,RB,Auburn,Tigers,AUB,http://insider.espn.com/nfl/draft/player/_/id/101522,11.0,43.0,2.0,True,From NE thru SF,Detroit Lions,DET,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/det.png,bd23bf66851aa4abf1b7921a09ec90d8,213.0,72.0,7.0,79.0,75.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/101522.png,2018.0,Auburn,RB,71.5,213.0,9.75,32.5,,4.55,11.0,40.0,126.0,4.29,7.07,,6192,3916925,Auburn,519.0,173.0,285.0,52.0,2494.0,831.3333333333334,1391.0,208.0,13.8,4.6000000000000005,4.9,4.0,64.0,10.666666666666666,18.0,3.0,126.0,42.0,60.0,19.0,55.0,18.33333333333333,24.0,14.0,478.0,159.33333333333334,194.0,125.0,26.9,8.966666666666667,11.4,7.4,129.0,43.0,55.0,37.0,4.0,0.6666666666666666,2.0,0.0
17,2018,101514,Derrius Guice,Running Back,RB,LSU,Tigers,LSU,http://insider.espn.com/nfl/draft/player/_/id/101514,27.0,59.0,2.0,True,From SF thru NO,Washington Redskins,WSH,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/wsh.png,737d49b926bbac3e8b703b24f836a56b,224.0,71.0,4.0,35.0,86.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/101514.png,2018.0,Louisiana State,RB,70.5,224.0,9.75,30.75,,4.49,15.0,31.5,,,,,6914,3843750,LSU,471.0,157.0,237.0,51.0,3074.0,1024.6666666666667,1387.0,436.0,21.4,7.133333333333334,8.5,5.3,58.0,9.666666666666666,15.0,3.0,205.0,68.33333333333333,96.0,50.0,32.0,10.666666666666666,18.0,5.0,250.0,83.33333333333333,124.0,20.0,22.700000000000003,7.566666666666667,11.8,4.0,59.0,19.666666666666668,29.0,10.0,6.0,1.0,2.0,0.0
18,2018,101573,Royce Freeman,Running Back,RB,Oregon,Ducks,ORE,http://insider.espn.com/nfl/draft/player/_/id/101573,7.0,71.0,3.0,False,,Denver Broncos,DEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,731544c10c451ed74dbcad917b8926d9,229.0,72.0,8.0,90.0,73.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/101573.png,2018.0,Oregon,RB,71.5,229.0,9.5,32.0,,4.54,17.0,34.0,118.0,4.16,6.9,11.64,7400,3122672,Oregon,947.0,236.75,283.0,168.0,5621.0,1405.25,1836.0,945.0,23.5,5.875,6.5,5.4,120.0,15.0,18.0,9.0,246.0,61.5,85.0,38.0,79.0,19.75,26.0,14.0,814.0,203.5,348.0,144.0,41.3,10.325,13.4,6.3,140.0,35.0,50.0,24.0,8.0,1.0,2.0,0.0
19,2018,101790,Nyheim Hines,Running Back,RB,NC State,Wolfpack,NCST,http://insider.espn.com/nfl/draft/player/_/id/101790,4.0,104.0,4.0,False,,Indianapolis Colts,IND,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ind.png,7818f7f51cf178c8ccfb12e6fab89bb7,198.0,68.0,10.0,112.0,69.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/101790.png,2018.0,North Carolina State,RB,68.38,198.0,8.88,30.75,,4.38,9.0,35.5,119.0,4.35,7.18,,8404,3916430,NC State,258.0,86.0,197.0,13.0,1399.0,466.3333333333333,1112.0,44.0,14.1,4.7,5.6,3.4,26.0,4.333333333333333,12.0,0.0,135.0,45.0,83.0,14.0,89.0,29.666666666666668,43.0,20.0,933.0,311.0,525.0,152.0,30.8,10.266666666666667,12.8,5.8,142.0,47.333333333333336,58.0,28.0,2.0,0.3333333333333333,1.0,0.0
